feature,perm_importance,snapshot_corr_mean_abs,snapshot_corr_std,stability_score,perm_rank_pct,final_score,theme
log1p_std_order_value_lookback,0.0017436083477806118,0.7973432313620918,0.08080729004820839,6.095556532577311,0.8444444444444444,2.368333577588772,value_mix
recency_gap_ratio,0.0015975648238670593,0.625984439669082,0.05314044901800199,6.06924291710058,0.8,2.317310729275145,core
orders_60d,0.0013783291348436143,0.596414036018165,0.061925685221484485,5.3286610203721265,0.7111111111111111,2.0432763662041427,core
log1p_revenue_lookback,0.0013363102801073113,0.6944615375938044,0.07863095653529154,5.398867864309707,0.6888888888888889,2.038605854966316,value_mix
std_order_value_lookback_clip,0.0014293068159893507,0.7174230466430791,0.09907623369840685,4.8124575517146715,0.7333333333333333,1.936447721262001,value_mix
std_order_value_lookback,0.0014382013393181904,0.7102182756104922,0.10284775002633399,4.646573308983151,0.7555555555555555,1.9171988828013433,value_mix
orders_30d_per_age,0.0033304409937661484,0.4480070867759868,0.06744346219046166,3.8146617821044817,0.9555555555555556,1.9092210010816761,core
orders_lookback,0.00100115636629019,0.5770891863308344,0.06356121348119412,5.081745506588842,0.6222222222222222,1.8926585988694327,core
revenue_lookback_zscore_snapshot,0.002104169085219343,0.5814534732420321,0.09902631827218297,3.9016831388135103,0.9111111111111111,1.8865318958144885,anomaly
log1p_avg_gap_days_lookback,0.0019829617892733855,0.6582496394551415,0.11754104178764208,3.9288859161415,0.8888888888888888,1.8711103679242638,core
log1p_gap_multiplier,0.0010248908389010603,0.7045870741139052,0.09394657807116404,4.894781686061149,0.6444444444444445,1.8681398659597317,anomaly
value_gap_ratio,0.001444018910144207,0.5252724216430448,0.07256874602588802,4.285533128748016,0.7777777777777778,1.8491610599647816,core
revenue_lookback,0.0010666549300261563,0.5814534732420321,0.09902631827218296,3.901683138813511,0.6666666666666666,1.6420874513700445,value_mix
orders_30d_zscore_snapshot,0.000718787957770084,0.5846852533721908,0.0819414790087459,4.431398357550882,0.5333333333333333,1.641182922721054,anomaly
max_gap_days_lookback,0.005213831746142849,0.4343249442744299,0.13529096991891099,2.3440157092625933,0.9777777777777777,1.563781705093426,core
revenue_lookback_lag1,0.0005742417943519484,0.5898707691433741,0.09271138020042359,4.133312762548864,0.4888888888888889,1.522217079526105,time_series
revenue_per_order_lifetime,0.0008060237115994573,0.5833404732914506,0.10763794238348774,3.700508040585502,0.5777777777777777,1.5029047879241533,value_mix
orders_30d_roll3_mean_lagged,0.00032465388277416187,0.6164707814229294,0.08883743736404197,4.440234515467883,0.37777777777777777,1.4878364066447485,time_series
cohort_revenue_index,0.00046903737258700005,0.5918259626841914,0.0968201303881168,4.03095925006815,0.4444444444444444,1.452184256961482,cohort
std_gap_days_lookback,0.002434324182941794,0.3505026309800593,0.12631490432007228,1.9879353497182306,0.9333333333333333,1.430317170762891,core
orders_30d,0.00010011350321343926,0.5846852533721908,0.08194147900874589,4.431398357550883,0.3111111111111111,1.4189607004988318,core
orders_30d_lag1,6.113748983715972e-06,0.6032815096085199,0.08536161892703673,4.456813640310431,0.24444444444444444,1.3586478545220522,time_series
avg_gap_days_lookback,0.0018152826520512976,0.3883147229985354,0.16533863328305612,1.8032747634657245,0.8666666666666667,1.3174853575330978,core
days_since_last_order_vs_roll3,0.0016302128363943735,0.3922752721516452,0.15153728181769727,1.9464154156176527,0.8222222222222222,1.3088260761266355,time_series
revenue_lookback_vs_roll3,-3.2830115027138174e-05,0.47494357647353863,0.06032495816318607,4.304951339940963,0.2222222222222222,1.2984600572074632,time_series
anomaly_score,0.00011059607949812645,0.3666612470496787,0.05044373315071482,3.6504143717906934,0.3333333333333333,1.2459369262810067,anomaly
is_gap_anomaly_3x,3.96299957108992e-05,0.6434033053739975,0.11551957566026833,3.8871734826978623,0.26666666666666666,1.2384600373411323,anomaly
avg_items_per_order_lookback,0.0008217618183773645,0.24751573413484834,0.04819400221585,2.5206807803877815,0.6,1.2301701950969455,value_mix
