feature,model_importance,perm_importance,theme,final_score,perm_rank_pct
log1p_std_order_value_lookback,0.15505399300643008,0.005699152163322674,value_mix,2.368333577588772,0.8444444444444444
log1p_avg_gap_days_lookback,0.1179481576171777,0.003312028432036096,core,1.871110367924264,0.8888888888888888
std_order_value_lookback_clip,0.10413677496931543,0.002546983133454047,value_mix,1.936447721262001,0.7333333333333333
std_order_value_lookback,0.0618945911854154,0.0016097556520781504,value_mix,1.917198882801343,0.7555555555555555
max_gap_days_lookback,0.023375979480397022,0.0013724641252704044,core,1.563781705093426,0.9777777777777776
orders_30d_per_age,0.013629830424798425,0.0010513054535829514,core,1.909221001081676,0.9555555555555556
value_gap_ratio,0.02817222416797584,0.0009442061961781415,core,1.8491610599647816,0.7777777777777778
avg_gap_days_lookback,0.03998923419969881,0.0009305322732918916,core,1.3174853575330978,0.8666666666666667
orders_lookback,0.05164207535406199,0.0008164473269683484,core,1.8926585988694329,0.6222222222222222
cohort_revenue_index,0.020869942022229197,0.0007876624656241912,cohort,1.452184256961482,0.4444444444444444
orders_60d,0.04550162339026267,0.0005958714981127711,core,2.0432763662041427,0.7111111111111111
std_gap_days_lookback,0.01261875600932749,0.00046326103481385733,core,1.430317170762891,0.9333333333333332
days_since_last_order_vs_roll3,0.00965271870983565,0.0003589095644318437,time_series,1.3088260761266357,0.8222222222222222
orders_30d_roll3_mean_lagged,0.018674989452026416,0.0001860326283248855,time_series,1.4878364066447485,0.3777777777777777
revenue_lookback_lag1,0.015169232250271057,0.00018441752360751074,time_series,1.522217079526105,0.4888888888888889
orders_30d_zscore_snapshot,0.02209683415524301,4.6999772009873965e-05,anomaly,1.641182922721054,0.5333333333333333
log1p_gap_multiplier,0.04903982883543866,-2.6522775678503956e-05,anomaly,1.8681398659597317,0.6444444444444445
log1p_revenue_lookback,0.05194952727534246,-4.546466953206374e-05,value_mix,2.038605854966316,0.6888888888888889
orders_30d,0.026151470161397378,-0.00013655383041838443,core,1.4189607004988318,0.3111111111111111
recency_gap_ratio,0.027233293818761353,-0.0001627809700035232,core,2.317310729275145,0.8
revenue_lookback_zscore_snapshot,0.029933953073069036,-0.00032548163426408355,anomaly,1.8865318958144883,0.9111111111111112
revenue_per_order_lifetime,0.01969165180661853,-0.000408054455957374,value_mix,1.5029047879241533,0.5777777777777777
orders_30d_lag1,0.019665372989433907,-0.00046727824820267755,time_series,1.3586478545220522,0.2444444444444444
revenue_lookback,0.035907945645472505,-0.0004824740800531968,value_mix,1.6420874513700443,0.6666666666666666
